Wall time,Step,Value
1716247806.481616,325600,-32.61890411376953
1716247820.2991507,325800,-31.659080505371094
1716247875.7576787,326600,-31.7442684173584
1716247946.197664,327600,-34.23080825805664
1716248000.951323,328200,-32.8065071105957
1716248028.8082144,328600,-30.69734764099121
1716248070.9818618,329200,-32.31214141845703
1716248112.629026,329800,-32.888519287109375
1716248168.2660573,330600,-35.187896728515625
1716248278.2842662,332000,-34.40618896484375
1716248292.682696,332200,-33.17985916137695
1716248306.7020133,332400,-31.634536743164062
1716248405.0219715,333800,-32.43626403808594
1716248433.1330912,334200,-31.824872970581055
1716248474.174738,334600,-34.56146240234375
1716248516.3935587,335200,-31.700685501098633
1716248530.3889625,335400,-31.636219024658203
1716248613.9082649,336600,-32.85066223144531
1716248628.2436967,336800,-30.816486358642578
1716248754.39098,338400,-31.761112213134766
1716248796.2191815,339000,-34.001041412353516
1716248809.951001,339200,-31.660961151123047
1716248823.8247287,339400,-31.73060417175293
1716248837.6838217,339600,-32.93290710449219
1716248865.5434523,340000,-31.633169174194336
1716248907.5365,340600,-35.78123092651367
1716249018.3887563,342000,-36.13090515136719
1716249032.2545657,342200,-35.24857711791992
1716249101.9649403,343200,-30.932851791381836
1716249130.520979,343600,-33.229854583740234
1716249144.4360178,343800,-30.57822608947754
1716249171.5671747,344000,-29.44398307800293
1716249297.548534,345800,-33.10637664794922
1716249353.6690955,346600,-31.025287628173828
1716249381.5520635,347000,-29.891794204711914
1716249408.1244628,347200,-31.179380416870117
1716249435.8496683,347600,-29.983518600463867
1716249506.3039637,348600,-31.928510665893555
1716249520.199111,348800,-30.762849807739258
1716249548.2555552,349200,-32.902156829833984
1716249562.2287722,349400,-30.99458885192871
1716249576.3917046,349600,-32.03902053833008
1716249618.2794762,350200,-29.802642822265625
1716249658.8260984,350600,-33.71397399902344
1716249687.0542908,351000,-33.04816436767578
1716249813.2515872,352800,-34.49086380004883
1716249855.307862,353400,-32.43955993652344
1716249994.002391,355200,-33.00409698486328
1716250077.7642295,356400,-32.94379806518555
1716250091.8404498,356600,-29.381040573120117
1716250188.9170523,357800,-31.68619728088379
1716250202.8346088,358000,-32.45838928222656
1716250216.830925,358200,-34.14019012451172
1716250330.0157704,359800,-31.597171783447266
1716250426.4533284,361000,-32.27231979370117
1716250440.2332125,361200,-34.77590560913086
1716250552.2061095,362800,-33.36903762817383
1716250566.1541815,363000,-31.17534065246582
1716250621.000941,363600,-31.534616470336914
1716250662.901454,364200,-34.02971649169922
1716250718.4992678,365000,-31.568195343017578
1716250746.7781553,365400,-29.35001564025879
1716250802.772853,366200,-34.14727020263672
1716250900.051383,367400,-34.2039680480957
1716250956.1518376,368200,-33.48844528198242
1716250970.2550716,368400,-33.65505599975586
1716251011.8732042,369000,-32.121376037597656
1716251095.4305277,370000,-32.71780776977539
1716251151.3295336,370800,-32.93199157714844
1716251179.301335,371200,-32.93743133544922
1716251207.5148268,371600,-28.82014274597168
1716251235.6144414,372000,-30.32617950439453
1716251346.0753925,373400,-32.37151336669922
1716251373.8830643,373800,-32.81397247314453
1716251387.9757755,374000,-35.15738296508789
1716251472.6369169,375200,-32.60195541381836
1716251486.6352942,375400,-31.698883056640625
1716251500.9943264,375600,-33.51060485839844
1716251528.919129,376000,-32.9403076171875
1716251569.3413434,376400,-32.30550765991211
1716251737.1272304,378800,-32.61015701293945
1716251876.111628,380600,-31.917098999023438
1716251932.1151924,381400,-29.429031372070312
1716252001.8515081,382400,-35.51177978515625
1716252028.4682055,382600,-34.68132781982422
1716252098.479094,383600,-32.02582550048828
1716252112.6063626,383800,-32.55326461791992
1716252126.6613853,384000,-34.204132080078125
1716252182.4356704,384800,-33.69932556152344
1716252196.5372026,385000,-31.628713607788086
1716252293.455504,386200,-34.268310546875
1716252349.7416487,387000,-33.67942428588867
1716252363.9201477,387200,-35.96634292602539
1716252378.4234068,387400,-32.54080581665039
1716252406.6189775,387800,-32.596290588378906
1716252420.684659,388000,-30.889802932739258
1716252503.3181074,389000,-33.850067138671875
1716252545.2286232,389600,-31.525436401367188
1716252572.9726996,390000,-33.54475784301758
1716252614.9556375,390600,-32.278961181640625
1716252657.0737998,391200,-32.573951721191406
1716252698.8920846,391800,-32.03298568725586
1716252739.579026,392200,-32.90877151489258
1716252837.333279,393600,-31.546321868896484
1716252865.2598011,394000,-33.31203842163086
1716252893.4811113,394400,-31.575366973876953
1716253032.3317811,396200,-34.476593017578125
1716253046.5328865,396400,-33.744510650634766
1716253060.7257626,396600,-34.78886032104492
1716253074.706615,396800,-29.587726593017578
1716253282.9891548,399600,-32.951194763183594
1716253561.5673876,400400,-30.91834831237793
1716253617.1536884,401200,-29.886634826660156
1716253631.0688763,401400,-34.20539093017578
1716253685.7194986,402000,-32.467952728271484
1716253700.063585,402200,-33.361995697021484
1716253742.0899382,402800,-31.422134399414062
1716253769.7155032,403200,-34.919883728027344
1716253797.671245,403600,-34.57803726196289
1716253867.530112,404600,-34.186370849609375
1716253922.2732553,405200,-32.04977798461914
1716253950.1302564,405600,-32.28251266479492
1716253992.385918,406200,-30.27669334411621
1716254034.37049,406800,-30.677091598510742
1716254076.5056815,407400,-32.23640441894531
1716254104.1188889,407800,-34.85523986816406
1716254158.1230361,408400,-29.56491470336914
1716254199.7006683,409000,-32.141597747802734
1716254213.795597,409200,-31.03287124633789
1716254255.4651525,409800,-32.38087463378906
1716254297.4473433,410400,-32.66353225708008
1716254435.4273272,412200,-33.23158645629883
1716254463.0798147,412600,-32.19516372680664
1716254532.6999338,413600,-32.74176025390625
1716254602.529577,414600,-33.59098434448242
1716254629.407829,414800,-31.49406623840332
1716254643.3135211,415000,-31.529356002807617
1716254671.0487325,415400,-32.196990966796875
1716254685.1519544,415600,-34.85429763793945
1716254712.8334825,416000,-35.22438049316406
1716254740.6909592,416400,-33.8281364440918
1716254783.1799045,417000,-28.454763412475586
1716254797.479754,417200,-32.349124908447266
1716254866.4875245,418000,-30.764556884765625
1716254936.263817,419000,-33.01481246948242
1716254964.412793,419400,-32.45768356323242
1716255048.9198236,420600,-32.279685974121094
1716255062.7346373,420800,-31.685758590698242
1716255076.6517503,421000,-32.80472946166992
1716255103.5669026,421200,-32.46951675415039
1716255117.7996874,421400,-33.406402587890625
1716255159.6508632,422000,-34.45353317260742
1716255187.3070078,422400,-29.585411071777344
1716255243.4388645,423200,-31.18961524963379
1716255285.2851145,423800,-30.785737991333008
1716255313.0645292,424200,-30.99726104736328
1716255354.118202,424600,-30.98837661743164
1716255368.2591748,424800,-31.82823371887207
1716255382.2637513,425000,-32.689701080322266
1716255438.4322941,425800,-34.52272033691406
1716255494.816125,426600,-30.88024139404297
1716255508.7945344,426800,-33.99576950073242
1716255522.8505542,427000,-30.369892120361328
1716255591.5342822,427800,-32.0964469909668
1716255605.4949377,428000,-33.126163482666016
1716255633.7008088,428400,-32.381996154785156
1716255647.7070863,428600,-32.827857971191406
1716255675.4986713,429000,-33.55299758911133
1716255689.7050436,429200,-32.85374069213867
